Update: 88, Reward_mean: 0.122039451689, Loss: [0.080403469502925873]
Update: 89, Reward_mean: 0.493284081353, Loss: [0.068920060992240906]
Update: 90, Reward_mean: 0.569012043081, Loss: [0.077805414795875549]
Update: 91, Reward_mean: 0.597984145326, Loss: [0.067598283290863037]
Update: 92, Reward_mean: 0.822131831036, Loss: [0.090983122587203979]
Update: 93, Reward_mean: 0.881492475205, Loss: [0.065783634781837463]
Update: 94, Reward_mean: 0.363376082554, Loss: [-0.015330176800489426]
Update: 95, Reward_mean: 0.166130000092, Loss: [0.067916706204414368]
Update: 96, Reward_mean: 0.408738642597, Loss: [0.033813022077083588]
Update: 97, Reward_mean: 0.6837464654, Loss: [0.19826988875865936]
Update: 98, Reward_mean: 0.481266398415, Loss: [0.09309125691652298]
Update: 99, Reward_mean: 0.698611541075, Loss: [0.071940511465072632]
Update: 100, Reward_mean: 0.517003254255, Loss: [0.058274395763874054]
Update: 101, Reward_mean: 0.53644777571, Loss: [0.057853609323501587]
Update: 102, Reward_mean: 0.324436802154, Loss: [0.040859445929527283]
Update: 103, Reward_mean: 0.309614336446, Loss: [0.026294786483049393]
Update: 104, Reward_mean: 0.189406831774, Loss: [0.060587875545024872]
Update: 105, Reward_mean: 0.106547446059, Loss: [0.013074621558189392]
Update: 106, Reward_mean: 0.681873759153, Loss: [0.045144785195589066]
Update: 107, Reward_mean: 0.726075097691, Loss: [0.096113294363021851]
Update: 108, Reward_mean: 0.728239143748, Loss: [-0.022315481677651405]
Update: 109, Reward_mean: 0.766440050468, Loss: [0.047870930284261703]
Update: 110, Reward_mean: 0.485748505791, Loss: [0.037593662738800049]
Update: 111, Reward_mean: 0.312003971154, Loss: [0.049475211650133133]
Update: 112, Reward_mean: 0.220025491524, Loss: [2.4236738681793213e-05]
Update: 113, Reward_mean: 0.680936126058, Loss: [0.034487012773752213]
Update: 114, Reward_mean: 0.549536120045, Loss: [0.0014938861131668091]
Update: 115, Reward_mean: 0.373983882836, Loss: [-0.052874229848384857]
Update: 116, Reward_mean: 0.733351756438, Loss: [0.10017724335193634]
Update: 117, Reward_mean: 0.705205406432, Loss: [0.10819105803966522]
Update: 118, Reward_mean: 0.524772381262, Loss: [0.044592276215553284]
Update: 119, Reward_mean: 0.671827931747, Loss: [0.14327704906463623]
Update: 120, Reward_mean: 0.900816042185, Loss: [0.062402598559856415]
Update: 121, Reward_mean: 0.459826705489, Loss: [0.021652583032846451]
Update: 122, Reward_mean: 0.360716795981, Loss: [0.042140457779169083]
Update: 123, Reward_mean: 0.53548522072, Loss: [0.15820996463298798]
Update: 124, Reward_mean: 0.47019168663, Loss: [0.056105848401784897]
Update: 125, Reward_mean: 0.145477525507, Loss: [0.16147921979427338]
Update: 126, Reward_mean: 0.522781577867, Loss: [0.050048846751451492]
Update: 127, Reward_mean: 0.356912952682, Loss: [0.061017513275146484]
Update: 128, Reward_mean: 0.170213250268, Loss: [0.11578307300806046]
Update: 129, Reward_mean: 0.297261243582, Loss: [-0.0015955157577991486]
Update: 130, Reward_mean: 0.338890413153, Loss: [0.074510924518108368]
Update: 131, Reward_mean: 0.286308824976, Loss: [0.019737422466278076]
